"plot_id","line","audpc","trial","Name","CR_1","CR_2","CR_3","CR_4","CR_5","CR_6","CR_7"
9275,"MN06213",370.5,"2018","MN06213",1,1,5,20,20,20,80
9276,"COLT",367.5,"2018","COLT",5,5,5,10,20,20,90
9277,"SD111931",327.5,"2018","SD111931",5,5,5,10,20,20,70
9278,"SD120553",272.5,"2018","SD120553",5,5,5,10,20,10,60
9279,"MN09115",282.5,"2018","MN09115",5,5,5,10,10,20,60
9280,"WIX9645-1",141.5,"2018","WIX9645-1",1,1,1,10,10,10,20
9281,"BADGER",307.5,"2018","BADGER",5,5,5,10,20,20,60
9282,"SD100719",327.5,"2018","SD100719",5,5,5,10,20,20,70
9283,"MN09255",352.5,"2018","MN09255",5,10,5,20,20,20,60
9284,"MN11140",81.5,"2018","MN11140",1,1,1,5,5,10,5
9285,"MN08160",312.5,"2018","MN08160",5,5,5,10,30,20,50
9286,"P0528A1-1-1",333.5,"2018","P0528A1-1-1",5,5,1,10,20,20,80
9287,"P021A1-78-1-5",347.5,"2018","P021A1-78-1-5",5,5,5,10,20,20,80
9288,"WIX10088-6",244,"2018","WIX10088-6",1,1,1,5,10,10,80
